role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Austin Pantel, MD",Instructor of Radiology,,NCT03863457,austin pantel,austin
Principal Investigator,"Rachel Freedman, MD, MPH",Dana-Farber Cancer Institute,,NCT03865654,rachel freedman,rachel
Principal Investigator,"Rachel A Freedman, MD, MPH",Dana-Farber Cancer Institute,,NCT03818087,rachel a freedman,rachel
Principal Investigator,"Ann H. Partridge, MD",Dana-Farber Cancer Institute,,NCT03913936,ann h. partridge,ann
Principal Investigator,"Aditya Bardia, MD, MPH",Massachusetts General Hospital,,NCT04039230,aditya bardia,aditya
Principal Investigator,"Neelima Vidula, MD",Massachusetts General Hospital,,NCT03990896,neelima vidula,neelima
Principal Investigator,"Aditya Bardia, MD",Massachusetts General Hospital,,NCT03959891,aditya bardia,aditya
Principal Investigator,"Alphonse G. Taghian, MD",Dana-Farber Cancer Institute,,NCT03861975,alphonse g. taghian,alphonse
Study Chair,Peng Yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04033172,peng yuan,peng
Principal Investigator,Jian Yue,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04033172,jian yue,jian
Study Director,"Fan zhimin, Doctor",First Affiliated Hospital of Jilin University,,NCT03959397,fan zhimin,fan
Principal Investigator,"Patrick Dillon, MD",University of Virginia,,NCT04038489,patrick dillon,patrick
Study Director,Matthew Dronsfield,Hospital Director- Mediclinic City Hospital,,NCT03879174,matthew dronsfield,matthew
Principal Investigator,Shaheenah Dawood,Consultant Oncologist,,NCT03879174,shaheenah dawood,shaheenah
Principal Investigator,"Vladimir I Chernov, MD, Prof.",TomskNMRC,,NCT03991260,vladimir i chernov,vladimir
Principal Investigator,"Budhi S Yadav, MD","PGIMER, Chandigarh, India",,NCT04075058,budhi s yadav,budhi
Principal Investigator,"Mehran Habibi, MD",Johns Hopkins Bayview,,NCT04129216,mehran habibi,mehran
Principal Investigator,Caigang Liu,Shengjing Hospital,,NCT04045522,caigang liu,caigang
Principal Investigator,"Luis Fontana, Ph.D.",Universidad de Granada,,NCT03885648,luis fontana,luis
Principal Investigator,"Jinsong Lu, MD","Renji Hospital, School of Medicine, Shanghai Jiao Tong University",,NCT03982485,jinsong lu,jinsong
Principal Investigator,"Xuefei Wang, M.D.",PUMCH,,NCT03971019,xuefei wang,xuefei
Principal Investigator,Jenny Chang,Houston Methodist Cancer Center,,NCT04095689,jenny chang,jenny
Principal Investigator,Daniel Rea,University of Birmingham,,NCT04118192,daniel rea,daniel
Study Director,"Dr. Mikhail Khazan, MD",Ichnos Sciences,,NCT03983395,mikhail khazan,mikhail
Principal Investigator,"Michael R Speicher, MD",Medical University of Graz,,NCT03992521,michael r speicher,michael
Study Chair,"Jin Zhang, Pro.",Tianjin Medical University Cancer Institute and Hospital,,NCT03983096,jin zhang,jin
Principal Investigator,Vasco Fonseca,"Hospital S Francisco Xavier - Ocidental Lisbon Hospital Center, Lisbon, Portugal",,NCT03831308,vasco fonseca,vasco
Study Chair,"Pedro Sarmento, PhD",Faculty of Human Motricity - University of Lisbon,,NCT03831308,pedro sarmento,pedro
Study Director,"ahmed a berry, PhD","Faculty of Medicine, Beni Suef University",,NCT04143282,ahmed a berry,ahmed
Study Director,"ahmed h shaaban, MD","Faculty of Medicine, Beni Suef University",,NCT04143282,ahmed h shaaban,ahmed
Study Director,"hoda m rabea, PhD","Faculty of Medicine, Beni Suef University",,NCT04143282,hoda m rabea,hoda
Study Chair,Gilles Romieu,Institut du Cancer de Montpellier,,NCT04109326,gilles romieu,gilles
Principal Investigator,"Solveig Hofvind, PhD",Cancer Registry of Norway,,NCT03877029,solveig hofvind,solveig
Principal Investigator,"Viviana E Galimberti, MD",IEO,,NCT03920488,viviana e galimberti,viviana
Principal Investigator,"Lisa Mullen, MD",JHU School of Medicine,,NCT03863522,lisa mullen,lisa
