role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Pierre BOURDILLON, MD",Fondation A. de Rothschild,,NCT04427254,pierre bourdillon,pierre
Principal Investigator,"Pierre CROISILLE, PhD",CHU SAINT-ETIENNE,,NCT04377685,pierre croisille,pierre
Principal Investigator,Nuriye Kupeli,"Marie Curie Palliative Care Research Department, UCL",,NCT04386668,nuriye kupeli,nuriye
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.in Biochemistry",Damitta University,,NCT04396067,mahmoud elkazzaz,mahmoud
Principal Investigator,"Regan N Theiler, MD, PhD",Mayo Clinic,,NCT04379284,regan n theiler,regan
Principal Investigator,"Anca Askanase, MD, MPH",Columbia University,,NCT04349371,anca askanase,anca
Principal Investigator,"Tamer A Elhadidy, MD",assistant professor,,NCT04388436,tamer a elhadidy,tamer
Principal Investigator,"Sherief Abd-Elsalam, ass. prof.",Tanta University Faculty of medicine,,NCT04345419,sherief abd-elsalam,sherief
Study Director,"Eslam Saber, ass. lect",Tanta University Faculty of medicine,,NCT04345419,eslam saber,eslam
Study Chair,"Mai Khalaf, ass. lect.",Tanta University Faculty of medicine,,NCT04345419,mai khalaf,mai
Principal Investigator,Vishwesh Kulkarni,University of Warwick,,NCT04354753,vishwesh kulkarni,vishwesh
Principal Investigator,"Federica Picariello, PhD",King's College London,,NCT04408157,federica picariello,federica
Principal Investigator,"Michael Farkouh, MD, MSc",Peter Munk Cardiac Centre; University Health Network; University of Toronto,,NCT04404218,michael farkouh,michael
Principal Investigator,"Ana Andreazza, PhD",Department of Pharmacology & Toxicology; University of Toronto,,NCT04404218,ana andreazza,ana
Principal Investigator,"Christoph Schmaderer, M.D.","Department of Nephrology, TUM Medical School, Klinikum rechts der Isar",,NCT04347460,christoph schmaderer,christoph
Study Chair,"Luis Madero, MD","Hospital Infantil Universitario Niño Jesús, Oncohematology Department",,NCT04366271,luis madero,luis
Principal Investigator,"Sandeep Budhiraja, MRCP, FACP",Max Healthcare,,NCT04373824,sandeep budhiraja,sandeep
Principal Investigator,"Faiq I Gorial, Professor",University of Baghdad,,NCT04343092,faiq i gorial,faiq
Study Chair,Jawad I. Rasheed,Arab Board for Health Specialiazation in Iraq,,NCT04343092,jawad i. rasheed,jawad
Principal Investigator,"Timothy J Ness, MD PhD",University of Alabama at Birmingham,,NCT04338126,timothy j ness,timothy
Principal Investigator,"Ahmed Samir, MD",Department of Radio-diagnosis.,,NCT04433039,ahmed samir,ahmed
Principal Investigator,"Mypinder Sekhon, MD",University of British Columbia,,NCT04363008,mypinder sekhon,mypinder
Principal Investigator,"Rejko Krüger, Dr",Luxembourg Institute of Health,,NCT04379297,rejko krüger,rejko
Principal Investigator,DAVID OWEN,"National Health Service, United Kingdom",,NCT04419610,david owen,david
Principal Investigator,Katrina Pollock,"National Health Service, United Kingdom",,NCT04419610,katrina pollock,katrina
Principal Investigator,"Fibhaa Syed, FRCP",Shaheed Zylfiqar Ali Bhutto Medical University,,NCT04359537,fibhaa syed,fibhaa
Principal Investigator,"Mohammed Ali Arif, FRCP",Shaheed Zulfiqar Ali Bhutto Medical University,,NCT04359537,mohammed ali arif,mohammed
Study Director,"Rauf Niazi, FRCP",Shaheed Zulfiqar Ali Bhutto Medical University /PIMS,,NCT04359537,rauf niazi,rauf
Principal Investigator,Mervat Eissa,Cairo University,,NCT04407299,mervat eissa,mervat
Study Chair,"Mustafa KM Nimeiri, MD","Al Neelain University, Faculty of Medicine",,NCT04381871,mustafa km nimeiri,mustafa
Study Director,"Moawia M Mukhtar, PhD","University of Khartom , Institute of Endemic Diseases",,NCT04381871,moawia m mukhtar,moawia
Principal Investigator,"Umar Farooq, PhD",Khyber Medical University Peshawer,,NCT04328272,umar farooq,umar
Principal Investigator,"Anne Drewry, MD",Washington Univeristy School of Medicine,,NCT04426344,anne drewry,anne
Principal Investigator,"Veronika Müller, MD, PhD",Semmelweis University,,NCT04345679,veronika müller,veronika
Principal Investigator,"Jean-Marc Naccache, MD",Groupe Hospitalier Paris Saint Joseph,,NCT04365582,jean-marc naccache,jean-marc
Principal Investigator,"Sharon Nachman, MD",Stony Brook University Hospital,,NCT04359329,sharon nachman,sharon
Study Director,"Maha A Mohamed, professor",Assiut univeristy,,NCT04383548,maha a mohamed,maha
Principal Investigator,"Magdy El Ekiaby, Doctor","Sabrawishy hospital,Dokki,Giza,Egypt",,NCT04383548,magdy el ekiaby,magdy
Principal Investigator,"Azza M Ez-Eldin, professor",Assiut univeristy,,NCT04383548,azza m ez-eldin,azza
Principal Investigator,"Alia M Hussein, professor",Assiut univeristy,,NCT04383548,alia m hussein,alia
Study Director,"Walter Manucha, PhD","IMBECU, Univ Nac de Cuyo, Mendoza, Argentina",,NCT04411446,walter manucha,walter
Principal Investigator,"Carlos Tajer, MD",Hospital de Alta Complejidad El Cruce - Universidad Nacional Arturo Jauretche,,NCT04411446,carlos tajer,carlos
