role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Patrick Schrauwen, Prof. Dr.",Maastricht University,,NCT03992248,patrick schrauwen,patrick
Study Director,Kun Lou,"Department of Medicine, CSPC Clinical Development Division",,NCT04161430,kun lou,kun
Principal Investigator,Lee Kheng Hock,Singapore General Hospital,,NCT03940482,lee kheng hock,lee
Principal Investigator,"Katherine Esposito, MD, PhD",Unit of Diabetology University of Campania Luigi Vanvitelli,,NCT04196231,katherine esposito,katherine
Principal Investigator,"Dario Giugliano, MD",Unit of Endocrinology and Metabolic Diseases University of Campania Luigi Vanvitelli,,NCT04196231,dario giugliano,dario
Study Chair,"Giuseppe Bellastella, MD, PhD",Unit of Endocrinology and Metabolic Diseases University of Campania Luigi Vanvitelli,,NCT04196231,giuseppe bellastella,giuseppe
Study Chair,"Maria Ida Maiorino, MD, PhD",Unit of Diabetology University of Campania Luigi Vanvitelli,,NCT04196231,maria ida maiorino,maria
Principal Investigator,"Julio Alfredo García Puga, Ph.D.",Universidad de Sonora,,NCT04023539,julio alfredo garcía puga,julio
Principal Investigator,"Qingqing Lou, director",Nanjing University of Traditional Chinese Medicine,,NCT03932084,qingqing lou,qingqing
Study Director,"Talia A Hitt, MD/MPH",Children's Hospital of Philadelphia,,NCT04213547,talia a hitt,talia
Principal Investigator,"Sujay Madduri, MD",MidMichigan Health,,NCT03997331,sujay madduri,sujay
Study Chair,Alexander Dahmani,QuiO Technologies,,NCT03997331,alexander dahmani,alexander
Principal Investigator,"Aslaug Johanne Risøy, PhDCandidate",University of Bergen,,NCT03979768,aslaug johanne risøy,aslaug
Study Chair,"Tarek Mostafa, Ass Prof.",Tanta University,,NCT04107259,tarek mostafa,tarek
Study Director,Luis M Ruilope Urioste,Hospital Universitario 12 de Octubre de Madrid,,NCT03887416,luis m ruilope urioste,luis
Principal Investigator,"Mary Sevick, MD",New York Langone Health,,NCT04108299,mary sevick,mary
Principal Investigator,Anne Karen Jenum,University of Oslo,,NCT03870724,anne karen jenum,anne
Principal Investigator,"Ayşe N Erbakan, MD",IMU Doctoral program,,NCT04005261,ayşe n erbakan,ayşe
Study Director,"Mehmet Uzunlulu, Prof",IMU Goztepe Education and Research Hospital,,NCT04005261,mehmet uzunlulu,mehmet
Principal Investigator,"Weiqing Wang, MD,PHD",Ruijin Hospital,,NCT04164784,weiqing wang,weiqing
Principal Investigator,"Marine HALBRON, MD",APHP,,NCT04155996,marine halbron,marine
