role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,"Austin Pantel, MD",Instructor of Radiology,,NCT03863457,austin pantel,austin,male,0.98,4612,1,[18F] F-GLN by PET/CT in Breast Cancer,"Active, not recruiting",No Results Available,Breast Cancer,Drug: Fluoroglutamine [18F]F-GLN,University of Pennsylvania,831804,"March 5, 2019","University of Pennsylvania, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT03863457
Principal Investigator,"Rachel Freedman, MD, MPH",Dana-Farber Cancer Institute,,NCT03865654,rachel freedman,rachel,female,0.98,28052,2,Individualizing Surveillance Mammography for Older Breast Cancer Survivors,"Active, not recruiting",No Results Available,Breast Cancer,Other: Communication Tool,Dana-Farber Cancer Institute|National Institutes of Health (NIH)|National Cancer Institute (NCI),19-001|1R21CA227615-01A1,"March 7, 2019","Dana-Farber Cancer Institute, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03865654
Principal Investigator,"Rachel A Freedman, MD, MPH",Dana-Farber Cancer Institute,,NCT03818087,rachel a freedman,rachel,female,0.98,28052,3,Elevate! : An Elderly Breast Cancer Cohort Study,Recruiting,No Results Available,Breast Cancer,Behavioral: Observational cohort,Dana-Farber Cancer Institute|Susan G. Komen Breast Cancer Foundation,18-634,"January 28, 2019","Brigham and Women Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03818087
Principal Investigator,"Rachel Freedman, MD, MPH",Dana-Farber Cancer Institute,,NCT03858322,rachel freedman,rachel,female,0.98,28052,305,'ADVANCE' (A Pilot Trial),Recruiting,No Results Available,Breast Cancer,Drug: Paclitaxel|Drug: Cyclophosphamide|Drug: Carboplatin,Dana-Farber Cancer Institute|Mayo Clinic,19-031,"February 28, 2019","City of Hope National Medical Center, Duarte, California, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Dana-Farber/Brigham and Women's Cancer Center (DF/BWCC) at Milford Regional Medical Center, Milford, Massachusetts, United States|Dana-Farber/Brigham and Women's Cancer Center (DF/BWCC) in Clinical Affiliation with South Shore Hospital, South Weymouth, Massachusetts, United States|Novant Health Oncology Specialists, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03858322
Principal Investigator,"Ann H. Partridge, MD",Dana-Farber Cancer Institute,,NCT03913936,ann h. partridge,ann,female,0.97,28026,4,"Young, Empowered & Strong (YES): The Young Women's Breast Cancer Study 2- Focus on Intervention Pilot","Active, not recruiting",No Results Available,Breast Cancer,Other: YES portal,Dana-Farber Cancer Institute|Breast Cancer Research Foundation,18-641,"April 12, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03913936
Principal Investigator,"Aditya Bardia, MD, MPH",Massachusetts General Hospital,,NCT04039230,aditya bardia,aditya,male,0.98,3231,5,Study to Evaluate Sacituzumab Govitecan in Combination With Talazoparib in Patients With Metastatic Breast Cancer.,Recruiting,No Results Available,Breast Cancer,Drug: Talazoparib|Drug: Sacituzumab Govitecan,Massachusetts General Hospital|Pfizer,19-239,"July 31, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04039230
Principal Investigator,"Aditya Bardia, MD",Massachusetts General Hospital,,NCT03959891,aditya bardia,aditya,male,0.98,3231,7,"AKT Inhibitor, Ipatasertib, With Endocrine and CDK 4/6 Inhibitor for Patients With Metastatic Breast Cancer (TAKTIC)",Recruiting,No Results Available,Breast Cancer,Drug: Ipatasertib|Drug: Fulvestrant|Drug: Aromatase Inhibitor|Drug: Palbociclib,"Massachusetts General Hospital|Genentech, Inc.",19-086,"May 22, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03959891
Principal Investigator,"Neelima Vidula, MD",Massachusetts General Hospital,,NCT03990896,neelima vidula,neelima,female,0.99,67,6,"Evaluation of Talazoparib, a PARP Inhibitor, in Patients With Somatic BRCA Mutant Metastatic Breast Cancer: Genotyping Based Clinical Trial",Recruiting,No Results Available,Breast Cancer,Drug: Talazoparib,Massachusetts General Hospital|Pfizer,19-188,"June 19, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03990896
Principal Investigator,"Alphonse G. Taghian, MD",Dana-Farber Cancer Institute,,NCT03861975,alphonse g. taghian,alphonse,male,0.97,2546,9,Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening,Recruiting,No Results Available,Breast Cancer,Other: Breast Cancer-Related Lymphedema Measurements,Massachusetts General Hospital|Heinz Family Foundation,18-181,"March 5, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03861975
Study Chair,Peng Yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04033172,peng yuan,peng,male,0.84,1286,11,Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant ),Recruiting,No Results Available,Breast Cancer|HER2-positive Breast Cancer,Drug: Pyrotinib Plus Fulvestrant,Chinese Academy of Medical Sciences,NCC2018M-042,"July 25, 2019","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04033172
