role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Principal Investigator,"Cristiane Takita, MD, MBA",University of Miami,,NCT04360330,cristiane takita,cristiane,female,0.98,1268,1,NCT04360330,SABER Study for Selected Early Stage Breast Cancer,Recruiting,No Results Available,Breast Cancer|Early-stage Breast Cancer,Radiation: Stereotactic Ablative Breast Radiotherapy,"April 24, 2020","University of Miami, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT04360330
Principal Investigator,"ANNE TARDIVON, MD",Institut Curie,,NCT04217109,anne tardivon,anne,female,0.97,78727,2,NCT04217109,Transcutaneous Breast Cancer Diagnosis by Canine Odorology,Recruiting,No Results Available,Breast Cancer,Diagnostic Test: Odour sampling,"January 3, 2020","Institut de Cancérologie de l'Ouest, Nantes, France|Centre d'imagerie 114, Paris, France|Groupe Hospitalier Paris Saint- Joseph, Paris, France|Institut Curie, Paris, France|Institut Curie, Saint-Cloud, France|Centre Hospitalier Valenciennes, Valenciennes, France",https://ClinicalTrials.gov/show/NCT04217109
Principal Investigator,"Osama Hussein, MD, PhD",Mansoura University Faculty of Medicine,,NCT04387630,osama hussein,osama,male,0.98,8125,5,NCT04387630,Neoadjuvant Chemotherapy With or Without Metformin in Early Breast Cancer.,Recruiting,No Results Available,Breast Cancer,Drug: Metformin|Drug: Placebo oral tablet,"May 14, 2020","Mansoura University Cancer center, Mansoura, Egypt",https://ClinicalTrials.gov/show/NCT04387630
Study Chair,"Michal Mego, Prof","National Cancer Institute, Slovakia",,NCT04265274,michal mego,michal,male,0.99,62499,6,NCT04265274,"Vinorelbine, Cisplatin, Disulfiram and Copper in CTC_EMT Positive Refractory Metastatic Breast Cancer.",Recruiting,No Results Available,Metastatic Breast Cancer,Drug: Disulfiram|Drug: Vinorelbin|Drug: Cisplatin|Drug: Copper,"February 11, 2020","National Cancer Institute, Bratislava, Slovakia",https://ClinicalTrials.gov/show/NCT04265274
Principal Investigator,"Vanessa A Scontre, MD",Instituto do Cancer do Estado de São Paulo,,NCT04350229,vanessa a scontre,vanessa,female,0.98,123396,10,NCT04350229,Endocrinological Changes Due to Pre-medications of Chemotherapy in Patients With Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Drug omission|Other: Control group,"April 16, 2020","Vanessa Scontre, São Paulo, SP, Brazil",https://ClinicalTrials.gov/show/NCT04350229
Study Chair,"YU Zhiyong, PhD",Shandong Cancer Hospital and Institute,,NCT04302415,yu zhiyong,yu,male,0.54,4500,12,NCT04302415,Metabolomics Explores Biomarkers for Metastatic Breast Cancer,Recruiting,No Results Available,Breast Cancer,"Drug: There is no other intervention, only clinical treatment.","March 10, 2020","Shandong Cancer Hospital and Institute, Jinan, Shandong, China",https://ClinicalTrials.gov/show/NCT04302415
Principal Investigator,"WANG Fukai, MM",Shandong Cancer Hospital and Institute,,NCT04302415,wang fukai,wang,male,0.64,3532,12,NCT04302415,Metabolomics Explores Biomarkers for Metastatic Breast Cancer,Recruiting,No Results Available,Breast Cancer,"Drug: There is no other intervention, only clinical treatment.","March 10, 2020","Shandong Cancer Hospital and Institute, Jinan, Shandong, China",https://ClinicalTrials.gov/show/NCT04302415
Principal Investigator,Yu Jiang,West China Hospital,,NCT04400695,yu jiang,yu,male,0.54,4500,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yu Wang,Shanxi Province Cancer Hospital,,NCT04400695,yu wang,yu,male,0.54,4500,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Tao Sun,Liaoning Tumor Hospital & Institute,,NCT04400695,tao sun,tao,male,0.86,1883,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
