role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Principal Investigator,"Pierre BOURDILLON, MD",Fondation A. de Rothschild,,NCT04427254,pierre bourdillon,pierre,male,0.99,91174,2,NCT04427254,Study of the Sars-Cov2 Neuroinvasiveness - COVID19,Not yet recruiting,No Results Available,COVID19,"Drug: Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies","June 11, 2020","Fondation A de Rothschild, Paris, France",https://ClinicalTrials.gov/show/NCT04427254
Principal Investigator,"Pierre CROISILLE, PhD",CHU SAINT-ETIENNE,,NCT04377685,pierre croisille,pierre,male,0.99,91174,3,NCT04377685,Prediction of Clinical Course in COVID19 Patients,Recruiting,No Results Available,COVID 19,Other: CT-Scan,"May 6, 2020","Chu Saint-Etienne, Saint-Étienne, France",https://ClinicalTrials.gov/show/NCT04377685
Principal Investigator,"Pierre Asfar, MD, PhD","CHU Angers, service de médecine intensive réanimation",,NCT04337190,pierre asfar,pierre,male,0.99,91174,296,NCT04337190,Impact of Angiotensin II Receptor Blockers Treatment in Patients With COVID 19 (COVID-ARA2),Recruiting,No Results Available,COVID|Acute Respiratory Distress Syndrome,Biological: blood sampling,"April 7, 2020","University Hospital Angers, Angers, France",https://ClinicalTrials.gov/show/NCT04337190
Principal Investigator,"Pierre HAUSFATER, MD",GH Pitié Salpêtrière - Charles Foix,,NCT04352348,pierre hausfater,pierre,male,0.99,91174,364,NCT04352348,Cohort of Patients Infected With SARS-CoV2 (COVID-19) or Suspected of Being,Recruiting,No Results Available,COVID-19,Other: blood samples,"April 20, 2020","GH Pitié-Salpêtrière / Service d'Accueil des Urgences, Paris, Ile-de-France, France",https://ClinicalTrials.gov/show/NCT04352348
Principal Investigator,"Pierre PATOZ, PharmD",CH Tourcoing,,NCT04337996,pierre patoz,pierre,male,0.99,91174,535,NCT04337996,Dynamic Evaluation of COVID-19 Diagnostic Tests,Not yet recruiting,No Results Available,COVID-19,Diagnostic Test: COVID-19 diagnostic test,"April 8, 2020",,https://ClinicalTrials.gov/show/NCT04337996
Principal Investigator,"Barthelemy LAFONDESMURS, MD",CH Tourcoing,,NCT04337996,barthelemy lafondesmurs,barthelemy,male,0.86,450,535,NCT04337996,Dynamic Evaluation of COVID-19 Diagnostic Tests,Not yet recruiting,No Results Available,COVID-19,Diagnostic Test: COVID-19 diagnostic test,"April 8, 2020",,https://ClinicalTrials.gov/show/NCT04337996
Principal Investigator,"Pierre PATOZ, PharmD",CH Tourcoing,,NCT04429724,pierre patoz,pierre,male,0.99,91174,568,NCT04429724,Health Professional Exposure Assessment to Covid-19,Not yet recruiting,No Results Available,COVID-19,Diagnostic Test: Diagnostic test Covid-19,"June 12, 2020",,https://ClinicalTrials.gov/show/NCT04429724
Principal Investigator,SIVERY,CH Wattrelos,,NCT04429724,sivery,sivery,female,0.5,2,568,NCT04429724,Health Professional Exposure Assessment to Covid-19,Not yet recruiting,No Results Available,COVID-19,Diagnostic Test: Diagnostic test Covid-19,"June 12, 2020",,https://ClinicalTrials.gov/show/NCT04429724
Principal Investigator,Pierre Corbeau,CHU Nimes,,NCT04351711,pierre corbeau,pierre,male,0.99,91174,889,NCT04351711,Immunological Profiling of Patients With COVID-19 in Respiratory Distress,Not yet recruiting,No Results Available,SARS-CoV-2|Covid-19,Other: Immunological profiling,"April 17, 2020","CHU de Nimes, Nîmes, France",https://ClinicalTrials.gov/show/NCT04351711
Study Director,"Pierre Fumoleau, PhD",Institut Curie,,NCT04369066,pierre fumoleau,pierre,male,0.99,91174,1404,NCT04369066,"COVID-19 Study of the Serological Response Against the Severe Acute Respiratory Syndrome (SARS) Coronavirus 2 (CoV-2) Virus in 2 Types of Employees, Hospital and Non-hospital, at Institute Curie",Recruiting,No Results Available,Volunteers From the Institute Curie Staff Who Are Not Showing Active SARS-CoV-2 Infection,Diagnostic Test: Blood samples (collection of 5 mL of blood in a dry tube)|Diagnostic Test: Nasopharyngeal swabs,"April 30, 2020","Institut Curie, Paris, France",https://ClinicalTrials.gov/show/NCT04369066
