role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Principal Investigator,"Ryan Bradley, ND, MPH","University of California, San Diego",,NCT04386187,ryan bradley,ryan,male,0.99,45164,1,NCT04386187,Glutathione-rich Foods for Type 2 Diabetes,Not yet recruiting,No Results Available,Type 2 Diabetes,Other: GSH Foods|Other: Nutrition education about glutathione sources in the diet|Other: Standard of care nutrition education for type 2 dabetes,"May 13, 2020",,https://ClinicalTrials.gov/show/NCT04386187
Principal Investigator,"Sujeet Jha, MRCP","Prinicipal Director, Institute of Endocrinology & Metabolism, Maxhealthcare",,NCT04363710,sujeet jha,sujeet,male,0.99,151,7,NCT04363710,Prospective Interventional Study on Reversibility of Type 2 Diabetes Mellitus With Hypocaloric Diet,Completed,No Results Available,Type 2 Diabetes Mellitus in Obese,Other: Low Calorie Diet,"April 27, 2020","Max Healthcare, New Delhi, Delhi, India",https://ClinicalTrials.gov/show/NCT04363710
Principal Investigator,"Habiba I. Ali, PhD, RD,CDE",United Arab Emirates University,,NCT04264793,habiba i. ali,habiba,female,0.97,2077,9,NCT04264793,Skills for Change: Nutrition Education Program for Emirati Adults With Type 2 Diabetes,Completed,No Results Available,Type 2 Diabetes,Behavioral: Behavioral Lifestyle Intervention|Behavioral: Usual Care,"February 11, 2020","Ambulatory Healthcare Services, SEHA, Al Ain, United Arab Emirates",https://ClinicalTrials.gov/show/NCT04264793
Principal Investigator,"Filip K Knop, Professor, MD","Director of Center for Clinical Metabolic Research, Gentofte Hospital",,NCT04228484,filip k knop,filip,male,0.98,23771,10,NCT04228484,The Insulin Response to the Gut Hormone GIP After Near-normalisation of Plasma Glucose in Patients With Type 2 Diabetes,Recruiting,No Results Available,Type2 Diabetes,Drug: Insulin|Drug: Empagliflozin|Drug: Metformin,"January 14, 2020","Center for Clinical Metabolic Research, Gentofte Hospital, Hellerup, Capital Region, Denmark",https://ClinicalTrials.gov/show/NCT04228484
Principal Investigator,"Jeffrey Berger, MD",NYU Langone Health,,NCT04369664,jeffrey berger,jeffrey,male,0.99,22034,14,NCT04369664,CHOlesterol Lowering and Residual Risk in Type 2 Diabetes,Recruiting,No Results Available,Type 2 Diabetes,Drug: Statin|Drug: PCSK9 inhibitor,"April 30, 2020","NYU Langone Health, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04369664
Principal Investigator,"Roselle Herring, MD PhD","CEDAR, Royal Surrey County Hospital",,NCT04219124,roselle herring,roselle,female,0.98,486,18,NCT04219124,"The Effect of a SGLT2 Inhibitor on Glucose Flux, Lipolysis and Exercise in Type 2 Diabetes",Recruiting,No Results Available,Type 2 Diabetes,Drug: IMP oral tablet|Drug: Placebo oral tablet,"January 6, 2020","CEDAR, Royal Surrey County Hospital, Guildford, Surrey, United Kingdom",https://ClinicalTrials.gov/show/NCT04219124
Study Chair,"Mellanie Davis, MD PhD",University of Leicester,,NCT04219124,mellanie davis,mellanie,female,0.99,225,18,NCT04219124,"The Effect of a SGLT2 Inhibitor on Glucose Flux, Lipolysis and Exercise in Type 2 Diabetes",Recruiting,No Results Available,Type 2 Diabetes,Drug: IMP oral tablet|Drug: Placebo oral tablet,"January 6, 2020","CEDAR, Royal Surrey County Hospital, Guildford, Surrey, United Kingdom",https://ClinicalTrials.gov/show/NCT04219124
Principal Investigator,"Nanna Lind, RN MSc",Steno Diabetes Center Copenhagen,,NCT04331444,nanna lind,nanna,female,0.95,1267,19,NCT04331444,Steno2tech - Continuous Glucose Monitoring and Type 2 Diabetes.,Not yet recruiting,No Results Available,Type 2 Diabetes Treated With Insulin,Device: CGM|Behavioral: training course|Behavioral: Peer-support,"April 2, 2020",,https://ClinicalTrials.gov/show/NCT04331444
Principal Investigator,fengyi Yuan,Shenzhen People' hospital,,NCT04426422,fengyi yuan,fengyi,male,0.89,9,20,NCT04426422,Effect of Metformin on Gut Microbiota Changes and Glycemic Control of Newly Diagnosed Type 2 Diabetes,Completed,No Results Available,Type 2 Diabetes,Drug: Metformin Hydrochloride,"June 11, 2020","Shenzhen People' S Hospital, Shenzhen, Guangdong, China",https://ClinicalTrials.gov/show/NCT04426422
Study Chair,"George Szewczyk, PhD",BioKier Inc.,,NCT04279444,george szewczyk,george,male,0.98,65488,21,NCT04279444,Effects of BKR-017 on Insulin Resistance in Type 2 Diabetes Patients,Not yet recruiting,No Results Available,Type 2 Diabetes,Dietary Supplement: BKR-017,"February 21, 2020","Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States",https://ClinicalTrials.gov/show/NCT04279444
