"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
1,"[18F] F-GLN by PET/CT in Breast Cancer","Active, not recruiting","No Results Available","Breast Cancer","Drug: Fluoroglutamine [18F]F-GLN","University of Pennsylvania","831804","March 5, 2019","University of Pennsylvania, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03863457"
2,"Individualizing Surveillance Mammography for Older Breast Cancer Survivors","Active, not recruiting","No Results Available","Breast Cancer","Other: Communication Tool","Dana-Farber Cancer Institute|National Institutes of Health (NIH)|National Cancer Institute (NCI)","19-001|1R21CA227615-01A1","March 7, 2019","Dana-Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03865654"
3,"Elevate! : An Elderly Breast Cancer Cohort Study","Recruiting","No Results Available","Breast Cancer","Behavioral: Observational cohort","Dana-Farber Cancer Institute|Susan G. Komen Breast Cancer Foundation","18-634","January 28, 2019","Brigham and Women Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03818087"
4,"Young, Empowered & Strong (YES): The Young Women's Breast Cancer Study 2- Focus on Intervention Pilot","Active, not recruiting","No Results Available","Breast Cancer","Other: YES portal","Dana-Farber Cancer Institute|Breast Cancer Research Foundation","18-641","April 12, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03913936"
5,"Study to Evaluate Sacituzumab Govitecan in Combination With Talazoparib in Patients With Metastatic Breast Cancer.","Recruiting","No Results Available","Breast Cancer","Drug: Talazoparib|Drug: Sacituzumab Govitecan","Massachusetts General Hospital|Pfizer","19-239","July 31, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04039230"
6,"Evaluation of Talazoparib, a PARP Inhibitor, in Patients With Somatic BRCA Mutant Metastatic Breast Cancer: Genotyping Based Clinical Trial","Recruiting","No Results Available","Breast Cancer","Drug: Talazoparib","Massachusetts General Hospital|Pfizer","19-188","June 19, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03990896"
7,"AKT Inhibitor, Ipatasertib, With Endocrine and CDK 4/6 Inhibitor for Patients With Metastatic Breast Cancer (TAKTIC)","Recruiting","No Results Available","Breast Cancer","Drug: Ipatasertib|Drug: Fulvestrant|Drug: Aromatase Inhibitor|Drug: Palbociclib","Massachusetts General Hospital|Genentech, Inc.","19-086","May 22, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03959891"
8,"Study of Oral Vinorelbine Plus Capecitabine Versus Taxane-gemcitabine Combinations as 1st Line Chemotherapy in Metastatic Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: oral vinorelbine|Drug: Capecitabine|Drug: Gemcitabine 1250 mg/m²|Drug: Gemcitabine 1000 mg/m²|Drug: Paclitaxel|Drug: Docetaxel","Pierre Fabre Medicament","PM0259CA223B0","March 22, 2019",,"https://ClinicalTrials.gov/show/NCT03887130"
9,"Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening","Recruiting","No Results Available","Breast Cancer","Other: Breast Cancer-Related Lymphedema Measurements","Massachusetts General Hospital|Heinz Family Foundation","18-181","March 5, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03861975"
10,"Dose-adjusted Adjuvant FEC Compared to Standard FEC for Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: 5-FU, epirubicin and cyclophosphamide","Henrik Lindman|Scandinavian Breast Group|Danish Breast Cancer Cooperative Group|Swedish Cancer Society|Swedish Cancer Foundation|Pharmacia Pharmaceutical Company|Swedish Breast Cancer Group|Uppsala University Hospital","SBG 2000-1","March 25, 2019",,"https://ClinicalTrials.gov/show/NCT03888677"
