"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
1,"NCT04360330","SABER Study for Selected Early Stage Breast Cancer","Recruiting","No Results Available","Breast Cancer|Early-stage Breast Cancer","Radiation: Stereotactic Ablative Breast Radiotherapy","April 24, 2020","University of Miami, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT04360330"
2,"NCT04217109","Transcutaneous Breast Cancer Diagnosis by Canine Odorology","Recruiting","No Results Available","Breast Cancer","Diagnostic Test: Odour sampling","January 3, 2020","Institut de Cancérologie de l'Ouest, Nantes, France|Centre d'imagerie 114, Paris, France|Groupe Hospitalier Paris Saint- Joseph, Paris, France|Institut Curie, Paris, France|Institut Curie, Saint-Cloud, France|Centre Hospitalier Valenciennes, Valenciennes, France","https://ClinicalTrials.gov/show/NCT04217109"
3,"NCT04413409","A Trial Evaluating the Efficacy of Metastasectomy in Patients With Oligo-Metastatic Breast Cancer(OMIT)","Recruiting","No Results Available","Breast Cancer","Procedure: Metastasectomy for the metastatic sites","June 4, 2020","Fudan University Shanghai Cancer Center, Shanghai, China","https://ClinicalTrials.gov/show/NCT04413409"
4,"NCT04240548","Radiation Therapy for ypN0 Breast Cancer","Active, not recruiting","No Results Available","Breast Cancer","Radiation: Regional Nodal Irradiation","January 27, 2020","National Cancer Institute, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04240548"
5,"NCT04387630","Neoadjuvant Chemotherapy With or Without Metformin in Early Breast Cancer.","Recruiting","No Results Available","Breast Cancer","Drug: Metformin|Drug: Placebo oral tablet","May 14, 2020","Mansoura University Cancer center, Mansoura, Egypt","https://ClinicalTrials.gov/show/NCT04387630"
6,"NCT04265274","Vinorelbine, Cisplatin, Disulfiram and Copper in CTC_EMT Positive Refractory Metastatic Breast Cancer.","Recruiting","No Results Available","Metastatic Breast Cancer","Drug: Disulfiram|Drug: Vinorelbin|Drug: Cisplatin|Drug: Copper","February 11, 2020","National Cancer Institute, Bratislava, Slovakia","https://ClinicalTrials.gov/show/NCT04265274"
7,"NCT04289532","Integrin α6-targeted SPECT Imaging of Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: 99mTc-RWY","February 28, 2020","Peking University Health Science Center, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04289532"
8,"NCT04379908","Healthy Lifestyles and Quality of Life in Women With Breast Cancer","Completed","No Results Available","Breast Cancer",,"May 8, 2020","Hospital Mutua de Terrassa, Terrassa, Barcelona, Spain|Consorci Sanitari de Terrassa, Terrassa, Barcelona, Spain|Complejo Hospitalario Universitario A Coruña (CHUAC), A Coruña, Galicia, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Centro Oncológico de Galicia, A Coruña, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Universitario Virgen de los Lirios, Alicante, Spain|Hospital Clinic i Provincial, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Puerta del Mar, Cadiz, Spain|ICO de Girona, Hospital Dr. Josep Trueta, Gerona, Spain|Complejo Hospitalario de Jaén, Jaen, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Universitario Virgen de la Salud, Toledo, Spain|Instituto Valenciano de Oncología, Valencia, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT04379908"
9,"NCT04228432","E-monitoring of Patients Under Adjuvant Hormonotherapy for Breast Cancer.","Recruiting","No Results Available","Breast Cancer","Other: Dedicated and coordinated monitoring","January 14, 2020","Institut Universitaire du Cancer Toulouse Oncopole, Toulouse, France","https://ClinicalTrials.gov/show/NCT04228432"
10,"NCT04350229","Endocrinological Changes Due to Pre-medications of Chemotherapy in Patients With Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Drug omission|Other: Control group","April 16, 2020","Vanessa Scontre, São Paulo, SP, Brazil","https://ClinicalTrials.gov/show/NCT04350229"
