"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
1,"NCT04359303","Indirect Endovenous Systemic Ozone for New Coronavirus Disease (COVID19) in Non-intubated Patients","Not yet recruiting","No Results Available","COVID","Other: Systemic indirect endovenous ozone therapy","April 24, 2020","SEOT, Valencia, Spain","https://ClinicalTrials.gov/show/NCT04359303"
2,"NCT04427254","Study of the Sars-Cov2 Neuroinvasiveness - COVID19","Not yet recruiting","No Results Available","COVID19","Drug: Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies","June 11, 2020","Fondation A de Rothschild, Paris, France","https://ClinicalTrials.gov/show/NCT04427254"
3,"NCT04377685","Prediction of Clinical Course in COVID19 Patients","Recruiting","No Results Available","COVID 19","Other: CT-Scan","May 6, 2020","Chu Saint-Etienne, Saint-Étienne, France","https://ClinicalTrials.gov/show/NCT04377685"
4,"NCT04386668","Let It Out (LIO) and COVID19: Testing an Online Emotional Disclosure-based Intervention During the COVID19 Pandemic","Not yet recruiting","No Results Available","COVID19","Other: Let It Out (LIO)-C|Other: Neutral writing control","May 13, 2020",,"https://ClinicalTrials.gov/show/NCT04386668"
5,"NCT04396067","Combination With Inhibitor of Neutrophil Elastase (All-trans Retinoic Acid ) and Isotretinoin May Enhances Neutralizing Antibodies in COVID -19 Infected Patients Better Than COVID-19 Inactivated Vaccines","Not yet recruiting","No Results Available","COVID -19","Drug: Aerosolized 13 cis retinoic acid|Drug: Aerosolized All trans retinoic acid|Other: Placebo","May 20, 2020",,"https://ClinicalTrials.gov/show/NCT04396067"
6,"NCT04379284","Risks of COVID19 in the Pregnant Population","Not yet recruiting","No Results Available","COVID19","Other: Biospecimen collection","May 7, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04379284"
7,"NCT04349371","Saved From COVID-19","Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Placebo oral tablet","April 16, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04349371"
8,"NCT04346446","Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients","Completed","No Results Available","COVID","Drug: Convalescent Plasma Transfusion|Other: Supportive Care|Drug: Random Donor Plasma","April 15, 2020","Maulana Azad medical College, New Delhi, Delhi, India|Institute of Liver and Biliary Sciences, New Delhi, Delhi, India","https://ClinicalTrials.gov/show/NCT04346446"
9,"NCT04449094","Emergence of the COVID 19 Epidemic in the City of Nice","Completed","No Results Available","COVID",,"June 26, 2020","CHU de Nice, Nice, France","https://ClinicalTrials.gov/show/NCT04449094"
10,"NCT04388436","Post Covid-19 Cardiopulmonary and Immunological Changes","Active, not recruiting","No Results Available","COVID",,"May 14, 2020","Mansoura faculty of medicine, Mansoura, Dakahlia, Egypt","https://ClinicalTrials.gov/show/NCT04388436"
