"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
1,"NCT04386187","Glutathione-rich Foods for Type 2 Diabetes","Not yet recruiting","No Results Available","Type 2 Diabetes","Other: GSH Foods|Other: Nutrition education about glutathione sources in the diet|Other: Standard of care nutrition education for type 2 dabetes","May 13, 2020",,"https://ClinicalTrials.gov/show/NCT04386187"
2,"NCT04259489","Effectiveness of SCDM in Patients With Type 2 Diabetes","Not yet recruiting","No Results Available","Type 2 Diabetes","Behavioral: Shared Care diabetes management","February 6, 2020","Beijing Chao-Yang Hospital, Capital Medical University, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04259489"
3,"NCT04427488","The Effect of Exercises Performed According to Circadian Rhythm in Type 2 Diabetes","Active, not recruiting","No Results Available","Type 2 Diabetes","Other: Aerobic Exercises According to Circadian Rhythym|Other: Strengthening Exercises According to Circadian Rhythym","June 11, 2020","Istanbul Medipol University, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT04427488"
4,"NCT04403217","Effect of MEDiterranean Diet on the microBIOME of Individuals With Type 2 Diabetes","Recruiting","No Results Available","Type 2 Diabetes","Other: Individualized structured dietary plan based on MD","May 27, 2020","NOVA Medical School Faculdade de Ciências Médicas, Universidade NOVA de Lisboa, Lisbon, Portugal","https://ClinicalTrials.gov/show/NCT04403217"
5,"NCT04315519","Effect of Blood Flow Restricted Aerobic Exercise in Type 2 Diabetes Mellitus","Not yet recruiting","No Results Available","Type 2 Diabetes","Other: Exercise","March 19, 2020",,"https://ClinicalTrials.gov/show/NCT04315519"
6,"NCT04403841","Effect of Group Patient Education on Glycemic Control Among People Living With Type 2 Diabetes in Vietnam","Completed","No Results Available","Type 2 Diabetes","Other: patient education and self-management intervention in a low-resource setting on diabetes knowledge and levels of blood glucose control|Other: Usual diabetes care alone","May 27, 2020","Hanoi Medical University, Hanoi, Vietnam","https://ClinicalTrials.gov/show/NCT04403841"
7,"NCT04363710","Prospective Interventional Study on Reversibility of Type 2 Diabetes Mellitus With Hypocaloric Diet","Completed","No Results Available","Type 2 Diabetes Mellitus in Obese","Other: Low Calorie Diet","April 27, 2020","Max Healthcare, New Delhi, Delhi, India","https://ClinicalTrials.gov/show/NCT04363710"
8,"NCT04287387","Response of Gut Microbiota in Type 2 Diabetes to Hypoglycemic Agents","Not yet recruiting","No Results Available","Type2 Diabetes Mellitus","Drug: Glucophage 500Mg Tablet|Drug: Acarbose Tablets|Drug: Sitagliptin tablet|Drug: Dapagliflozin Tablet|Drug: Pioglitazone Tablets|Drug: Glimepiride Tablets","February 27, 2020","Peking Union Medical College Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04287387"
9,"NCT04264793","Skills for Change: Nutrition Education Program for Emirati Adults With Type 2 Diabetes","Completed","No Results Available","Type 2 Diabetes","Behavioral: Behavioral Lifestyle Intervention|Behavioral: Usual Care","February 11, 2020","Ambulatory Healthcare Services, SEHA, Al Ain, United Arab Emirates","https://ClinicalTrials.gov/show/NCT04264793"
10,"NCT04228484","The Insulin Response to the Gut Hormone GIP After Near-normalisation of Plasma Glucose in Patients With Type 2 Diabetes","Recruiting","No Results Available","Type2 Diabetes","Drug: Insulin|Drug: Empagliflozin|Drug: Metformin","January 14, 2020","Center for Clinical Metabolic Research, Gentofte Hospital, Hellerup, Capital Region, Denmark","https://ClinicalTrials.gov/show/NCT04228484"
11,"NCT04383639","Cocoa/Carob Polyphenols and Postprandial Changes in Type 2 Diabetes","Not yet recruiting","No Results Available","Type 2 Diabetes","Other: No product (A)/mixture of coca and carob together with breakfast (B)/mixture of coca and carob 10 h before breakfast (C)","May 12, 2020","Institute of Food Science, Technology and Nutrition, National Research Council (ICTAN-CSIC), Madrid, Spain","https://ClinicalTrials.gov/show/NCT04383639"
12,"NCT04221399","Type 2 Diabetes Patients With Renal Impairment","Not yet recruiting","No Results Available","Type2 Diabetes","Drug: DWP16001","January 9, 2020",,"https://ClinicalTrials.gov/show/NCT04221399"
13,"NCT04419779","Evaluation of the Efficacy and Safety of Duodenal Mucosal Resurfacing Using the Revita™ System in Subjects With Type 2 Diabetes on Insulin Therapy","Not yet recruiting","No Results Available","Type 2 Diabetes","Device: Duodenal Mucosal Resurfacing (DMR)|Device: Duodenal Mucosal Resurfacing (Sham)","June 5, 2020",,"https://ClinicalTrials.gov/show/NCT04419779"
14,"NCT04369664","CHOlesterol Lowering and Residual Risk in Type 2 Diabetes","Recruiting","No Results Available","Type 2 Diabetes","Drug: Statin|Drug: PCSK9 inhibitor","April 30, 2020","NYU Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04369664"
15,"NCT04298970","Novel Organic Kale Products for Prevention of Obesity/Type 2 Diabetes","Active, not recruiting","No Results Available","Type2 Diabetes","Dietary Supplement: Intervention|Dietary Supplement: Placebo","March 6, 2020","Aarhus University, Aarhus C, Denmark","https://ClinicalTrials.gov/show/NCT04298970"
16,"NCT04266171","Precision Nutrition Counseling in Type 2 Diabetes Patients","Recruiting","No Results Available","Type 2 Diabetes","Behavioral: Diet education based on CGMS data|Behavioral: Conventional diet education","February 12, 2020","Seoul National University Hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04266171"
17,"NCT04296825","Effect of Camel Milk With Probiotic on Type 2 Diabetes Mellitus","Completed","No Results Available","Type 2 Diabetes","Dietary Supplement: Camel milk containing Bifidobacterium animalis A6|Dietary Supplement: Camel milk|Dietary Supplement: Bifidobacterium animalis A6|Dietary Supplement: Cow milk","March 5, 2020","Beijing Chinese Medicine Hospital Pinggu Hospital, Beijing, China","https://ClinicalTrials.gov/show/NCT04296825"
18,"NCT04219124","The Effect of a SGLT2 Inhibitor on Glucose Flux, Lipolysis and Exercise in Type 2 Diabetes","Recruiting","No Results Available","Type 2 Diabetes","Drug: IMP oral tablet|Drug: Placebo oral tablet","January 6, 2020","CEDAR, Royal Surrey County Hospital, Guildford, Surrey, United Kingdom","https://ClinicalTrials.gov/show/NCT04219124"
19,"NCT04331444","Steno2tech - Continuous Glucose Monitoring and Type 2 Diabetes.","Not yet recruiting","No Results Available","Type 2 Diabetes Treated With Insulin","Device: CGM|Behavioral: training course|Behavioral: Peer-support","April 2, 2020",,"https://ClinicalTrials.gov/show/NCT04331444"
20,"NCT04426422","Effect of Metformin on Gut Microbiota Changes and Glycemic Control of Newly Diagnosed Type 2 Diabetes","Completed","No Results Available","Type 2 Diabetes","Drug: Metformin Hydrochloride","June 11, 2020","Shenzhen People' S Hospital, Shenzhen, Guangdong, China","https://ClinicalTrials.gov/show/NCT04426422"
21,"NCT04279444","Effects of BKR-017 on Insulin Resistance in Type 2 Diabetes Patients","Not yet recruiting","No Results Available","Type 2 Diabetes","Dietary Supplement: BKR-017","February 21, 2020","Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States","https://ClinicalTrials.gov/show/NCT04279444"
22,"NCT04373967","Study to Assess the Efficacy and Safety of Liraglutide in the Treatment of Type 2 Diabetes","Not yet recruiting","No Results Available","Type 2 Diabetes","Drug: Victoza®.|Drug: Metformin Hydrochloride|Drug: TQZ2451","May 5, 2020","Nanjing Drum Tower Hospital, Nanjing, Jiangsu, China","https://ClinicalTrials.gov/show/NCT04373967"
23,"NCT04245267","Multicomponent Integrated Intervention on Metabolic Control and Quality of Life in Type 2 Diabetes: DIABEMPIC Program","Recruiting","No Results Available","Type 2 Diabetes","Behavioral: DIABEMPIC","January 28, 2020","Clínica Especializada en el Manejo de la Diabetes de la Ciudad de México from the Ministry of Health of the Mexico City Government, Mexico City, Iztapalapa, Mexico","https://ClinicalTrials.gov/show/NCT04245267"
24,"NCT04219215","Acute Hyperbaric Oxygen (HBO) Treatment Increases Hepatic Insulin Sensitivity and Muscle Reactive Oxygen Species in Type 2 Diabetes","Recruiting","No Results Available","Type 2-diabetes","Device: hyperbaric oxygen chamber","January 6, 2020","German Diabetes Center, Duesseldorf, NRW, Germany","https://ClinicalTrials.gov/show/NCT04219215"
25,"NCT04222231","RESIST! Blood-flow Restriction Resistance Training for Improving Insulin Sensitivity in Type 2 Diabetes","Enrolling by invitation","No Results Available","Type 2 Diabetes","Other: Blood-flow restriction resistance training|Other: Classical resistance training","January 9, 2020","German Diabetes Center, Düsseldorf, NRW, Germany","https://ClinicalTrials.gov/show/NCT04222231"
26,"NCT04356742","Efficacy and Safety of Dapagliflozin When Added to Ongoing Metformin and Evogliptin Combination Therapy in Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control","Not yet recruiting","No Results Available","Type 2 Diabetes","Drug: Dapagliflozin 10mg|Drug: Placebo|Drug: Evogliptin 5mg|Drug: Metformin≥1000mg","April 22, 2020","The Catholic University of Korea Bucheon St. Mary's Hospital, Bucheon, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04356742"
27,"NCT04432025","Medication Following Bariatric Surgery for Type 2 Diabetes Mellitus","Not yet recruiting","No Results Available","Obesity|Type 2 Diabetes","Procedure: Bariatric surgery + goal directed medical therapy|Procedure: Bariatric surgery","June 16, 2020",,"https://ClinicalTrials.gov/show/NCT04432025"
28,"NCT04441658","Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells Transplantation in Patients With Type 2 Diabetes Mellitus","Recruiting","No Results Available","Type 2 Diabetes|Mesenchymal Stem Cells","Biological: Umbilical Cord Mesenchymal Stem Cells|Biological: saline","June 22, 2020","Shanghai East Hospital, Shanghai Tongji University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04441658"
29,"NCT04345120","Multiple Ascending Doses of SY-008 in Type 2 Diabetes Mellitus","Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: SY-008|Drug: SY-008 matching placebo","April 14, 2020",,"https://ClinicalTrials.gov/show/NCT04345120"
30,"NCT04345107","Multiple Ascending Doses of SY-009 in Type 2 Diabetes Mellitus","Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: SY-009|Drug: SY-009 matching placebo","April 14, 2020",,"https://ClinicalTrials.gov/show/NCT04345107"
31,"NCT04217291","The Efficacy and Safety of Different Doses of SY-004 in Patients With Type 2 Diabetes Mellitus","Recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: SY-004|Other: SY-004 matching placebo","January 3, 2020","PLA General Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04217291"
32,"NCT04313829","Pharmacist Counseling on the Health-related Quality of Life of Patients With Type 2 Diabetes Mellitus","Completed","No Results Available","Type 2 Diabetes Mellitus","Behavioral: Pharmacist Counseling Intervention","March 18, 2020","Puskesmas Antang, Makassar, South Sulawesi, Indonesia|Puskesmas Batua, Makassar, South Sulawesi, Indonesia|Puskesmas Jongaya, Makassar, South Sulawesi, Indonesia|Puskesmas Tamalanrea, Makassar, South Sulawesi, Indonesia","https://ClinicalTrials.gov/show/NCT04313829"
