"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03840850","Type 2 Diabetes: Risk Perceptions and Self-management Behaviour",,"Completed","No Results Available","Type 2 Diabetes Mellitus","Other: Personalized Risk Communication for People with Type 2 Diabetes","Feasibility of implementing the intervention in primary care: Binary outcome (feasible / not feasible), as judged by the investigators|Recall of personalised risk information|Intentions to make lifestyle changes|Change in self-management behaviour","University of Oxford|NIHR Collaboration for Leadership in Applied Health Research and Care (Oxford)","All","30 Years to 75 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other","17/NW/0267","September 15, 2017","February 9, 2018","February 9, 2018","February 15, 2019",,"February 15, 2019","27 Beaumont Street Surgery Practice, Oxford, Oxfordshire, United Kingdom","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT03840850/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT03840850/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03840850"
2,"NCT04072523","An Observational Study to Assess the Prevalence of Heart Failure in Type 2 Diabetes Patients","HF-Registry","Recruiting","No Results Available","Type 2 Diabetes",,"Prevalence of Left Ventricular dysfunction|Correlation of Left ventricular dysfunction and heart failure","AstraZeneca","All","Child, Adult, Older Adult",,"1000","Industry","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","D1843R00300","December 3, 2019","May 31, 2020","May 31, 2020","August 28, 2019",,"May 5, 2020","Research Site, Ahemdabad, Gujrath, India|Research Site, Rajkot, Gujrat, India|Research Site, Rohtak, Haryana, India|Research Site, Bangalore, Karnataka, India|Research Site, Bangalore, Karnataka, India|Research Site, Delhi, New Delhi, India|Research Site, Delhi, New Delhi, India|Research Site, Amritsar, Punjab-, India|Research Site, Chandigarh, Punjab, India|Research Site, Chennai, Tamil Nadu, India|Research Site, Hyderabad, Telangana, India|Research Site, Kolkata, West Bengal, India",,"https://ClinicalTrials.gov/show/NCT04072523"
3,"NCT04100278","Effectiveness of Shared Care Diabetes Management in Patients With Type 2 Diabetes",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Behavioral: Shared Care diabetes management","HbA1c change|Blood Pressure change|LDL-c change|BMI change|SDSCA(Summary of Diabetes Self Care Activities) score change|C-DMSES(Chinese Diabetes Management Self-Efficacy Scale) score change|A-DQOL(Amendment Diabetes Quality of Life scale) score change|Morisky scale score change|DASS-C21scale score change","Beijing Chao Yang Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","1500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","SCDM-T2DM","January 1, 2020","December 31, 2023","December 31, 2023","September 24, 2019",,"September 24, 2019","Beijing Chao-Yang Hospital, Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04100278"
4,"NCT03992248","Effect of Eating Within a Limited Time on Sugar Sensitivity and Liver Sugar Stores of People With Type 2 Diabetes.","TRF","Recruiting","No Results Available","Type 2 Diabetes Mellitus","Behavioral: Time restricted feeding","Hepatic glycogen|Insulin sensitivity","Maastricht University|ZonMw: The Netherlands Organisation for Health Research and Development","All","50 Years to 75 Years   (Adult, Older Adult)","Not Applicable","34","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","NL67610068","January 31, 2019","October 2019","December 2019","June 20, 2019",,"June 20, 2019","Maastricht University, Maastricht, Limburg, Netherlands",,"https://ClinicalTrials.gov/show/NCT03992248"
5,"NCT04114682","Longitudinal Assessment of Multiple Organs in Patients With Type 2 Diabetes","MODIFY","Recruiting","No Results Available","Type 2 Diabetes","Other: Multi parametric MRI scan","Magnetic Resonance Imaging metrics for liver fibro-inflammation in patients with type 2 diabetes|Correlation between Magnetic Resonance Imaging metrics for liver Fat infiltration and volume in patients with type 2 diabetes vs healthy people.|Correlation between Magnetic Resonance Imaging metrics for Pancreas, spleen, kidney and aorta indicating co-morbidities in patients with type 2 diabetes vs healthy people.|Detecting change in liver, spleen, pancreas and kidney using Magnetic Resonance Imaging metrics from baseline to 9 months|Detecting change in liver, spleen, pancreas and kidney using conventional biochemical biomarkers from baseline to 9 months|Impact of Multi parametric abdominal MRI on management of patients with type 2 diabetes|longer term evaluation of clinical outcomes","Perspectum Diagnostics Ltd|University of Liverpool|Liverpool University Hospitals NHS Foundation Trust|Oxford University Hospitals NHS Trust|Royal Free Hospital NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)",,"150","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CA064","January 27, 2020","November 4, 2024","November 4, 2024","October 3, 2019",,"March 5, 2020","Aintree University Hospital NHS Foundation Trust, Liverpool, Merseyside, United Kingdom|Oxford University Hospitals NHS Foundation Trust, Oxford, Oxfordshire, United Kingdom|Royal Free Hospital NHS Foundation Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04114682"
6,"NCT04124484","DBPR108 Tablets in Type 2 Diabetes Mellitus Patients",,"Completed","No Results Available","Type 2 Diabetes Mellitus","Drug: DBPR108 tablet(50mg), Placebo matching DBPR108 tablet(100mg)|Drug: DBPR108 tablet(100mg), Placebo matching DBPR108 tablet(50mg), Placebo matching DBPR108 tablet(100mg)|Drug: DBPR108 tablet(100mg), Placebo matching DBPR108 tablet(50mg)|Drug: Placebo matching DBPR108 tablet(100mg), Placebo matching DBPR108 tablet(50mg)","HBA1c|Fasting plasma glucose|2-hour postprandial plasma glucose|fasting glucagon|fasting Insulin|active Glucagon-like peptide-1（GLP-1）|The percentage of HbA1c≤6.5% or HbA1c≤7%|body weight","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","276","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CSPC/HA1117/PRO-II","October 17, 2017","February 27, 2019","June 28, 2019","October 11, 2019",,"October 15, 2019","First Hospital of Peking Unversity, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04124484"
7,"NCT03909555","Effects of Short-term Intensive Insulin Therapy on Long-term Complications in Type 2 Diabetes",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Other: Complications assessment","Difference in the proportions of chronic complications|Difference of glycosylated hemoglobin A1C|Difference of fast blood glucose|Difference of C-peptides|Difference of insulin resistance|Difference of insulin usage|Difference of oral anti-diabetic drugs usage|Difference of attitudes toward diabetes|Difference of quality of life","Sun Yat-sen University|Guangdong Provincial People's Hospital|Zhujiang Hospital|The Third Affiliated Hospital of Guangzhou Medical University|The Third Affiliated Hospital of Southern Medical University|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|The First Affiliated Hospital of Guangzhou Medical University|Nanfang Hospital of Southern Medical University|First Affiliated Hospital of Jinan University|Guangzhou Red Cross Hospital|Dongguan Kanghua Hospital","All","25 Years and older   (Adult, Older Adult)",,"777","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","20181015","June 1, 2019","June 30, 2021","December 31, 2021","April 10, 2019",,"April 10, 2019","endocrinology department of the first affiliated hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03909555"
8,"NCT04161430","A Study to Evaluate the Efficacy and Safety of DBPR108 100 mg in Type 2 Diabetes Mellitus Patients",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: DBPR108; Placebo matching sitagliptin|Drug: Placebo matching DBPR108; Sitagliptin; DBPR108|Drug: Placebo matching DBPR108; Placebo matching sitagliptin; DBPR108","Change from baseline in HbA1c (%) compared to placebo comparator at week 24|Change from baseline in HbA1c (%) compared to active comparator at week 24|The percentage of subjects with HbA1c≤6.5% and HbA1c≤7% at week 24|Change from baseline in HbA1c (%) at week 12, week 40, week 52|The percentage of subjects with HbA1c≤6.5% and HbA1c≤7% at week 12, week 40, week 52|Change from baseline in fasting plasma glucose/2-hour postprandial plasma glucose/body weight at week 12,week 24","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","750","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CSPC/DBPR108201903/PRO-III-1","January 20, 2020","April 27, 2024","June 28, 2024","November 13, 2019",,"November 13, 2019",,,"https://ClinicalTrials.gov/show/NCT04161430"
9,"NCT03829891","Study for Beinaglutide Versus Glargine Therapy in Glycemic Variability of Type 2 Diabetes Mellitus",,"Recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Beinaglutide|Drug: glargine","The proportion and rate of the fasting blood glucose control.|Proportion of patients with glycosylated hemoglobin < 7%.|Changes of blood sugar variation .|Change percentage of glycosylated hemoglobin|Change of blood glucose|Change of blood pressure|Change of blood lipids|Change of body weight report in kilograms|Change of body mass index report in kg/m^2|Waist-hip ration change|Oxidative Stress Indice (8-Iso-PGF2α) change|Inflammatory factors (MCP-1) change|Inflammatory factors (hs-CRP) change","Xijing Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KY20182008-1","August 3, 2018","May 30, 2019","August 30, 2019","February 4, 2019",,"February 4, 2019","Chang'an Hospital, Xi'an, China,Shanxi, China|Shaanxi Aerospace Hospital, Xi'an, China,Shanxi, China",,"https://ClinicalTrials.gov/show/NCT03829891"
10,"NCT03940482","Time Restricted Eating As Treatment (TREAT) for Diabetes Mellitus: A Pre-Post 12 Week Study on the Effectiveness of Intermittent Fasting in Asians With Type 2 Diabetes Mellitus","TREAT","Recruiting","No Results Available","Type 2 Diabetes Mellitus","Behavioral: Time Restricted Eating As Treatment (TREAT) for Diabetes.","Change in glycaemic control of patients as measured by >= 5% reduction in glycosylated haemoglobin (HbA1C) over a 12 week period.|Change in glycaemic control of patients as measured by fasting glucose and 2 hour post prandial glucose over a 12 week period.|Change in Blood Pressure (BP) over a 12 week period.|Change in Weight over a 12 week period.|Change in Body Mass Index (BMI) over a 12 week period.|Change in Waist Circumference (WC) over a 12 week period.|Change in the lipid profiles of patients, namely Total Cholesterol (TC), High Density Lipoprotein (HDL), Low Density Lipoprotein (LDL), Triglycerides (TG), over a 12 week period.|Change in a levels of ketonemia (Serum Beta-Hydroxybutyrate 0.5-3.0 mmol/L) over a 12 week period.","Singapore General Hospital|Duke-NUS Graduate Medical School","All","21 Years to 80 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TREAT-DM-01","January 14, 2019","June 30, 2020","June 30, 2020","May 7, 2019",,"March 19, 2020","Singapore General Hospital (Clinical Trials and Research Centre), Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT03940482"
